DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
30-Mar-20,CTUM,Centum Investment Company Plc,19.6,33.5,23,23.5,23.2,22.65,0.55,2.43%,"3,500",-
30-Mar-20,HAFR,Home Afrika Ltd,0.3,0.69,0.3,0.35,0.31,0.33,-0.02,6.06%,"318,800",-
30-Mar-20,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
30-Mar-20,OCH,Olympia Capital Holdings Ltd,1.9,2.9,2,2,2,2,-,-,-,-
30-Mar-20,TCL,Trans-Century Plc,1.42,4.03,1.8,2,1.85,2,-0.15,7.50%,"2,000",-
30-Mar-20,NSE,Nairobi Securities Exchange Plc,7,13,8.8,9.3,8.84,9.06,-0.22,2.43%,"7,400",-
30-Mar-20,BOC,BOC Kenya Plc,53,72,62,62,62,62,-,-,-,-
30-Mar-20,BAT,British American Tobacco Kenya Plc,305,545,360,360,360,360,-,-,"4,600",-
30-Mar-20,CARB,Carbacid Investments Plc,7.1,9.4,8.2,8.98,8.58,8.2,0.38,4.63%,400,-
30-Mar-20,EABL,East African Breweries Ltd,135,222.25,138,140,139,135.25,3.75,2.77%,"10,500",-
30-Mar-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,1,1.11,1.06,1.01,0.05,4.95%,"29,100",-
30-Mar-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.25,12.25,12.25,12.25,-,-,-,-
30-Mar-20,UNGA,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-
30-Mar-20,SCOM,Safaricom Plc,23.5,33.5,26,26.5,26,25.35,0.65,2.56%,"4,439,600",-
30-Mar-20,FAHR,Stanlib Fahari Income-REIT,5.5,10,8,8.02,8,8.02,-0.02,0.25%,"1,000",-
30-Mar-20,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,625.00","1,625.00","1,625.00","1,625.00",-,-,-,-
30-Mar-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,157.91,163.54,162.01,157.91,4.1,2.60%,-,-
30-Mar-20,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,166.78,172.12,170.37,166.78,3.59,2.15%,-,-
30-Mar-20,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","1,930.75","1,930.75","1,930.75","1,917.67",13.08,0.68%,-,-
30-Mar-20,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","3,058.30","3,058.30","3,058.30","2,995.86",62.44,2.08%,-,-
30-Mar-20,^NASI,NSE All-Share Index,124.3,171.36,129.72,129.72,129.72,127.3,2.42,1.90%,-,-
30-Mar-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,555.83","1,555.83","1,555.83","1,526.25",29.58,1.94%,-,-
30-Mar-20,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,276.39","1,276.39","1,276.39","1,258.11",18.28,1.45%,-,-
31-Mar-20,EGAD,Eaagads Ltd,8.2,14,11,11,11,11,-,-,100,-
31-Mar-20,KUKZ,Kakuzi Plc,300,423.5,300,300,300,300,-,-,-,-
31-Mar-20,KAPC,Kapchorua Tea Kenya Plc,59,95,65,65,65,65,-,-,-,-
31-Mar-20,LIMT,Limuru Tea Plc,385,475,475,475,475,475,-,-,-,-
31-Mar-20,SASN,Sasini Plc,14.8,19.6,16.5,16.5,16.5,15.5,1,6.45%,"1,200",-
31-Mar-20,WTK,Williamson Tea Kenya Plc,92,165,104,104,104,96.75,7.25,7.49%,100,-
31-Mar-20,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,-
31-Mar-20,ABSA,ABSA Bank Kenya Plc,9.1,14.2,9.9,11,10.1,10.15,-0.05,0.49%,"426,800",-
31-Mar-20,BKG,BK Group Plc,16.4,28,22.4,22.4,22.4,22.4,-,-,-,-
31-Mar-20,COOP,Co-operative Bank of Kenya Ltd,10.5,17,12.75,13,12.85,12.85,-,-,"1,182,100",-
31-Mar-20,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,88,88,88,80,8,10.00%,"1,400",-
31-Mar-20,EQTY,Equity Group Holdings Plc,30.5,55.5,33.8,34.9,33.95,34,-0.05,0.15%,"789,900",-
31-Mar-20,HFCK,HF Group Ltd,3.49,7.9,4.18,4.18,4.18,4.18,-,-,"1,100",-
31-Mar-20,IMH,I & M Holdings Plc,43.1,59,50,52,50.75,49.8,0.95,1.91%,"7,900",-
31-Mar-20,KCB,KCB Group Plc,33.75,55.5,34.85,36.5,35,35,-,-,"7,041,300",-
31-Mar-20,NBK,National Bank of Kenya Ltd,3.4,4.33,4.12,4.12,4.12,4.12,-,-,-,-
31-Mar-20,NCBA,NCBA Group Plc,24.9,40,28.05,29,28.4,28.05,0.35,1.25%,"7,700",-
31-Mar-20,SBIC,Stanbic Holdings Plc,76.5,118.5,92,92,92,92,-,-,-,-
31-Mar-20,SCBK,Standard Chartered Bank Kenya Ltd,161,220,178,180,178,178.75,-0.75,0.42%,"12,000",-
31-Mar-20,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
31-Mar-20,EVRD,Eveready East Africa Ltd,0.75,1.28,0.81,0.85,0.84,0.84,-,-,"5,100",-
31-Mar-20,XPRS,Express Kenya Plc,4.15,7.34,5.5,5.5,5.5,5.82,-0.32,5.50%,400,-
31-Mar-20,KQ,Kenya Airways Plc,0.8,5.5,1.37,1.4,1.39,1.3,0.09,6.92%,"27,500",-
31-Mar-20,LKL,Longhorn Publishers Plc,4.26,8.6,5.3,5.3,5.3,5.14,0.16,3.11%,700,-
31-Mar-20,NBV,Nairobi Business Ventures Ltd,0.49,0.99,0.6,0.6,0.6,0.6,-,-,100,-
31-Mar-20,NMG,Nation Media Group Plc,13,49,24,25,24.3,24.6,-0.3,1.22%,"17,600",-
31-Mar-20,SMER,Sameer Africa Plc,1.91,4.69,2.29,2.29,2.29,2.29,-,-,-,-
31-Mar-20,SGL,Standard Group Plc,18,31,22,22,22,22,-,-,-,-
31-Mar-20,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,11.5,11.5,11.5,11.5,-,-,-,-
31-Mar-20,UCHM,Uchumi Supermarket Plc,0.23,0.46,0.29,0.31,0.3,0.29,0.01,3.45%,"18,900",-
31-Mar-20,SCAN,WPP ScanGroup Plc,10.75,25,15.9,15.95,15.95,16,-0.05,0.31%,"2,100",-
31-Mar-20,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
31-Mar-20,BAMB,Bamburi Cement Ltd,26,120,48,48,48,45.4,2.6,5.73%,"1,500",-
31-Mar-20,CRWN,Crown Paints Kenya Plc,45,85,58,58,58,58,-,-,-,-
31-Mar-20,CABL,East African Cables Ltd,1.44,3.98,1.6,1.7,1.6,1.7,-0.1,5.88%,"36,300",-
31-Mar-20,PORT,East African Portland Cement Ltd,12.6,18.5,14.25,14.25,14.25,14.25,-,-,-,-
31-Mar-20,KEGN,Kenya Electricity Generating Company Plc,4,6.5,4.9,5,4.94,4.71,0.23,4.88%,"24,100",-
31-Mar-20,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
31-Mar-20,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
31-Mar-20,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,1.75,1.8,1.77,1.75,0.02,1.14%,"557,400",-
31-Mar-20,TOTL,Total Kenya Ltd,22,30,22.9,22.9,22.9,22.9,-,-,-,-
31-Mar-20,UMME,Umeme Ltd,5.68,8.6,6,6.6,6.18,6.06,0.12,1.98%,"75,400",-
31-Mar-20,BRIT,Britam Holdings Plc,5.7,10.65,6.5,6.52,6.5,6.5,-,-,"72,200",-
31-Mar-20,CIC,CIC Insurance Group Ltd,2,3.65,2.2,2.3,2.2,2.19,0.01,0.46%,"39,300",-
31-Mar-20,JUB,Jubilee Holdings Ltd,225,380.5,265,270,266.75,250,16.75,6.70%,900,-
31-Mar-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.2,2.4,2.36,2.39,-0.03,1.26%,"87,900",-
31-Mar-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,8.44,8.44,8.44,8.44,-,-,"3,700",-
31-Mar-20,SLAM,Sanlam Kenya Plc,12.8,20,15,15,15,13.9,1.1,7.91%,"1,400",-
31-Mar-20,CTUM,Centum Investment Company Plc,19.6,33.5,22.2,24,22.55,23.2,-0.65,2.80%,"84,200",-
31-Mar-20,HAFR,Home Afrika Ltd,0.3,0.69,0.31,0.34,0.33,0.31,0.02,6.45%,"176,800",-
31-Mar-20,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
31-Mar-20,OCH,Olympia Capital Holdings Ltd,1.9,2.9,2.1,2.1,2.1,2,0.1,5.00%,100,-
31-Mar-20,TCL,Trans-Century Plc,1.42,4.03,2,2,2,1.85,0.15,8.11%,"1,000",-
31-Mar-20,NSE,Nairobi Securities Exchange Plc,7,13,9.3,9.3,9.3,8.84,0.46,5.20%,"3,600",-
31-Mar-20,BOC,BOC Kenya Plc,53,72,62,62,62,62,-,-,-,-
31-Mar-20,BAT,British American Tobacco Kenya Plc,305,545,360,360,360,360,-,-,100,-
31-Mar-20,CARB,Carbacid Investments Plc,7.1,9.4,8.98,8.98,8.98,8.58,0.4,4.66%,600,-
31-Mar-20,EABL,East African Breweries Ltd,135,222.25,138,150,149.5,139,10.5,7.55%,"86,500",-
31-Mar-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,1.11,1.11,1.11,1.06,0.05,4.72%,"14,100",-
31-Mar-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.25,12.25,12.25,12.25,-,-,-,-
31-Mar-20,UNGA,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-
31-Mar-20,SCOM,Safaricom Plc,23.5,33.5,26.05,27.5,26.45,26,0.45,1.73%,"16,084,600",-
31-Mar-20,FAHR,Stanlib Fahari Income-REIT,5.5,10,8.2,8.2,8.2,8,0.2,2.50%,400,-
31-Mar-20,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,615.00","1,615.00","1,615.00","1,625.00",-10,0.62%,"40,600",-
31-Mar-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,162.01,166.12,164.58,162.01,2.57,1.59%,-,-
31-Mar-20,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,170.37,174.84,173.37,170.37,3,1.76%,-,-
31-Mar-20,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","1,966.12","1,966.12","1,966.12","1,930.75",35.37,1.83%,-,-
31-Mar-20,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","3,109.00","3,109.00","3,109.00","3,058.30",50.7,1.66%,-,-
31-Mar-20,^NASI,NSE All-Share Index,124.3,171.36,131.92,131.92,131.92,129.72,2.2,1.70%,-,-
31-Mar-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,585.22","1,585.22","1,585.22","1,555.83",29.39,1.89%,-,-
31-Mar-20,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,299.26","1,299.26","1,299.26","1,276.39",22.87,1.79%,-,-
01-Apr-20,EGAD,Eaagads Ltd,8.2,14,11,11,11,11,-,-,-,-
01-Apr-20,KUKZ,Kakuzi Plc,300,423.5,300,300,300,300,-,-,-,-
01-Apr-20,KAPC,Kapchorua Tea Kenya Plc,59,95,65,65,65,65,-,-,-,-
01-Apr-20,LIMT,Limuru Tea Plc,385,475,475,475,475,475,-,-,-,-
01-Apr-20,SASN,Sasini Plc,14.8,19.6,16.5,16.5,16.5,16.5,-,-,-,-
01-Apr-20,WTK,Williamson Tea Kenya Plc,92,165,100,100,100,104,-4,3.85%,100,-
01-Apr-20,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,-
01-Apr-20,ABSA,ABSA Bank Kenya Plc,9.1,14.2,9.88,10.5,9.98,10.1,-0.12,1.19%,"687,900",-
01-Apr-20,BKG,BK Group Plc,16.4,28,22.4,22.4,22.4,22.4,-,-,-,-
01-Apr-20,COOP,Co-operative Bank of Kenya Ltd,10.5,17,12.9,13,12.95,12.85,0.1,0.78%,"64,500",-
01-Apr-20,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,80.25,88,86.75,88,-1.25,1.42%,"3,000",-
01-Apr-20,EQTY,Equity Group Holdings Plc,30.5,55.5,33.8,34,33.9,33.95,-0.05,0.15%,"2,216,700",-
01-Apr-20,HFCK,HF Group Ltd,3.49,7.9,4.18,4.2,4.19,4.18,0.01,0.24%,"8,900",-
01-Apr-20,IMH,I & M Holdings Plc,43.1,59,50,51,50.25,50.75,-0.5,0.99%,"1,500",-
01-Apr-20,KCB,KCB Group Plc,33.75,55.5,34.75,35,34.9,35,-0.1,0.29%,"2,395,300",-
01-Apr-20,NBK,National Bank of Kenya Ltd,3.4,4.38,4.12,4.12,4.12,4.12,-,-,-,-
01-Apr-20,NCBA,NCBA Group Plc,24.9,40,28.25,28.5,28.35,28.4,-0.05,0.18%,"40,800",-
01-Apr-20,SBIC,Stanbic Holdings Plc,76.5,118.5,95,95,95,92,3,3.26%,900,-
01-Apr-20,SCBK,Standard Chartered Bank Kenya Ltd,161,220,175,180,176,178,-2,1.12%,"66,800",-
01-Apr-20,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
01-Apr-20,EVRD,Eveready East Africa Ltd,0.75,1.28,0.84,0.84,0.84,0.84,-,-,100,-
01-Apr-20,XPRS,Express Kenya Plc,4.15,7.34,5.5,5.5,5.5,5.5,-,-,-,-
01-Apr-20,KQ,Kenya Airways Plc,0.8,5.5,1.28,1.4,1.34,1.39,-0.05,3.60%,"70,500",-
01-Apr-20,LKL,Longhorn Publishers Plc,4.26,8.6,5.2,5.3,5.26,5.3,-0.04,0.75%,"2,100",-
01-Apr-20,NBV,Nairobi Business Ventures Ltd,0.49,0.99,0.6,0.6,0.6,0.6,-,-,-,-
01-Apr-20,NMG,Nation Media Group Plc,13.45,49,24.5,25,24.55,24.3,0.25,1.03%,"21,200",-
01-Apr-20,SMER,Sameer Africa Plc,1.91,4.69,2.29,2.29,2.29,2.29,-,-,-,-
01-Apr-20,SGL,Standard Group Plc,18,31,22,22,22,22,-,-,-,-
01-Apr-20,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.45,12.6,12.6,12.6,11.5,1.1,9.57%,"1,000",-
01-Apr-20,UCHM,Uchumi Supermarket Plc,0.23,0.5,0.27,0.33,0.3,0.3,-,-,"7,500",-
01-Apr-20,SCAN,WPP ScanGroup Plc,10.5,25,15.1,15.5,15.15,15.95,-0.8,5.02%,"4,700",-
01-Apr-20,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
01-Apr-20,BAMB,Bamburi Cement Ltd,26,120,48,48,48,48,-,-,-,-
01-Apr-20,CRWN,Crown Paints Kenya Plc,45,85,58,58,58,58,-,-,-,-
01-Apr-20,CABL,East African Cables Ltd,1.44,3.98,1.44,1.6,1.48,1.6,-0.12,7.50%,"7,600",-
01-Apr-20,PORT,East African Portland Cement Ltd,12.6,18.5,14.25,14.25,14.25,14.25,-,-,-,-
01-Apr-20,KEGN,Kenya Electricity Generating Company Plc,4,6.5,4.89,5,4.93,4.94,-0.01,0.20%,"89,500",-
01-Apr-20,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
01-Apr-20,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
01-Apr-20,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,1.77,1.8,1.78,1.77,0.01,0.56%,"509,900",-
01-Apr-20,TOTL,Total Kenya Ltd,22,30,24.95,24.95,24.95,22.9,2.05,8.95%,100,-
01-Apr-20,UMME,Umeme Ltd,5.68,8.6,6.18,6.2,6.2,6.18,0.02,0.32%,"54,800",-
01-Apr-20,BRIT,Britam Holdings Plc,5.7,10.65,6.5,6.68,6.52,6.5,0.02,0.31%,"2,400",-
01-Apr-20,CIC,CIC Insurance Group Ltd,2,3.65,2.29,2.3,2.3,2.2,0.1,4.55%,"11,100",-
01-Apr-20,JUB,Jubilee Holdings Ltd,225,381,275,275,275,266.75,8.25,3.09%,500,-
01-Apr-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.38,2.59,2.53,2.36,0.17,7.20%,"219,100",-
01-Apr-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11.2,8.5,9,8.76,8.44,0.32,3.79%,200,-
01-Apr-20,SLAM,Sanlam Kenya Plc,13,20,15,15,15,15,-,-,-,-
01-Apr-20,CTUM,Centum Investment Company Plc,19.6,33.5,22.6,23.5,23.05,22.55,0.5,2.22%,"14,200",-
01-Apr-20,HAFR,Home Afrika Ltd,0.3,0.69,0.3,0.36,0.34,0.33,0.01,3.03%,"97,900",-
01-Apr-20,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
01-Apr-20,OCH,Olympia Capital Holdings Ltd,1.9,2.9,2.31,2.31,2.31,2.1,0.21,10.00%,100,-
01-Apr-20,TCL,Trans-Century Plc,1.42,4.03,2,2,2,2,-,-,-,-
01-Apr-20,NSE,Nairobi Securities Exchange Plc,7.04,13,9,9.3,9.02,9.3,-0.28,3.01%,"19,100",-
01-Apr-20,BOC,BOC Kenya Plc,53,72,62,62,62,62,-,-,-,-
01-Apr-20,BAT,British American Tobacco Kenya Plc,305,545,370,380,378.25,360,18.25,5.07%,600,-
01-Apr-20,CARB,Carbacid Investments Plc,7.1,9.4,8.5,8.5,8.5,8.98,-0.48,5.35%,"3,700",-
01-Apr-20,EABL,East African Breweries Ltd,135,222.25,149,150,149.25,149.5,-0.25,0.17%,"168,000",-
01-Apr-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,1,1.21,1.05,1.11,-0.06,5.41%,"297,700",-
01-Apr-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.25,12.25,12.25,12.25,-,-,-,-
01-Apr-20,UNGA,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-
01-Apr-20,SCOM,Safaricom Plc,23.5,33.5,26.7,27,26.9,26.45,0.45,1.70%,"9,821,800",-
01-Apr-20,FAHR,Stanlib Fahari Income-REIT,5.5,10,8.2,8.2,8.2,8.2,-,-,-,-
01-Apr-20,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,615.00","1,615.00","1,615.00","1,615.00",-,-,-,-
01-Apr-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,164.58,166.11,165.35,164.58,0.77,0.47%,-,-
01-Apr-20,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,173.37,175.18,174.54,173.37,1.17,0.67%,-,-
01-Apr-20,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","1,967.93","1,967.93","1,967.93","1,966.12",1.81,0.09%,-,-
01-Apr-20,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","3,126.53","3,126.53","3,126.53","3,109.00",17.53,0.56%,-,-
01-Apr-20,^NASI,NSE All-Share Index,124.3,171.36,133.25,133.25,133.25,131.92,1.33,1.01%,-,-
01-Apr-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,591.84","1,591.84","1,591.84","1,585.22",6.62,0.42%,-,-
01-Apr-20,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,302.82","1,302.82","1,302.82","1,299.26",3.56,0.27%,-,-
02-Apr-20,EGAD,Eaagads Ltd,8.2,14,11,11,11,11,-,-,-,-
02-Apr-20,KUKZ,Kakuzi Plc,300,423.5,300,300,300,300,-,-,-,-
02-Apr-20,KAPC,Kapchorua Tea Kenya Plc,59,95,65,65,65,65,-,-,-,-
02-Apr-20,LIMT,Limuru Tea Plc,385,475,475,475,475,475,-,-,-,-
02-Apr-20,SASN,Sasini Plc,14.8,19.6,16.5,16.5,16.5,16.5,-,-,-,-
02-Apr-20,WTK,Williamson Tea Kenya Plc,92,165,105,108,106.25,100,6.25,6.25%,500,-
02-Apr-20,CGEN,Car and General (K) Ltd,20,26,24,24,24,24,-,-,-,-
02-Apr-20,ABSA,ABSA Bank Kenya Plc,9.1,14.2,9.9,10.2,10,9.98,0.02,0.20%,"429,800",-
02-Apr-20,BKG,BK Group Plc,16.4,28,22.4,22.4,22.4,22.4,-,-,-,-
02-Apr-20,COOP,Co-operative Bank of Kenya Ltd,10.5,17,12.5,13,12.85,12.95,-0.1,0.77%,"226,400",-
02-Apr-20,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,85,88,85.5,86.75,-1.25,1.44%,"17,400",-
02-Apr-20,EQTY,Equity Group Holdings Plc,30.5,55.5,33.75,34.9,33.85,33.9,-0.05,0.15%,"3,080,900",-
02-Apr-20,HFCK,HF Group Ltd,3.49,7.9,4.18,4.2,4.19,4.19,-,-,"10,100",-
02-Apr-20,IMH,I & M Holdings Plc,43.1,59,48.5,48.5,48.5,50.25,-1.75,3.48%,200,-
02-Apr-20,KCB,KCB Group Plc,33.75,55.5,34,35,34.25,34.9,-0.65,1.86%,"1,357,900",-
02-Apr-20,NBK,National Bank of Kenya Ltd,3.4,4.33,4.12,4.12,4.12,4.12,-,-,-,-
02-Apr-20,NCBA,NCBA Group Plc,24.9,40,28.25,28.5,28.5,28.35,0.15,0.53%,"165,600",-
02-Apr-20,SBIC,Stanbic Holdings Plc,76.5,118.5,95,95,95,95,-,-,-,-
02-Apr-20,SCBK,Standard Chartered Bank Kenya Ltd,161,220,180,185,180.75,176,4.75,2.70%,"1,100",-
02-Apr-20,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
02-Apr-20,EVRD,Eveready East Africa Ltd,0.75,1.28,0.85,0.85,0.85,0.84,0.01,1.19%,300,-
02-Apr-20,XPRS,Express Kenya Plc,4.15,7.34,5.5,5.5,5.5,5.5,-,-,-,-
02-Apr-20,KQ,Kenya Airways Plc,0.8,5.5,1.35,1.46,1.4,1.34,0.06,4.48%,"499,700",-
02-Apr-20,LKL,Longhorn Publishers Plc,4.26,8.6,5.18,5.3,5.24,5.26,-0.02,0.38%,"1,000",-
02-Apr-20,NBV,Nairobi Business Ventures Ltd,0.49,0.99,0.6,0.6,0.6,0.6,-,-,-,-
02-Apr-20,NMG,Nation Media Group Plc,13,49,23.6,25,24,24.55,-0.55,2.24%,"143,700",-
02-Apr-20,SMER,Sameer Africa Plc,1.91,4.69,2.3,2.44,2.32,2.29,0.03,1.31%,600,-
02-Apr-20,SGL,Standard Group Plc,18,31,22,22,22,22,-,-,-,-
02-Apr-20,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,13,13.85,13.15,12.6,0.55,4.37%,"6,000",-
02-Apr-20,UCHM,Uchumi Supermarket Plc,0.23,0.46,0.27,0.3,0.29,0.3,-0.01,3.33%,"31,100",-
02-Apr-20,SCAN,WPP ScanGroup Plc,10.75,25,15.15,15.15,15.15,15.15,-,-,-,-
02-Apr-20,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
02-Apr-20,BAMB,Bamburi Cement Ltd,26,120,48,48,48,48,-,-,-,-
02-Apr-20,CRWN,Crown Paints Kenya Plc,45,85,58,58,58,58,-,-,-,-
02-Apr-20,CABL,East African Cables Ltd,1.44,3.98,1.44,1.61,1.52,1.48,0.04,2.70%,"9,500",-
02-Apr-20,PORT,East African Portland Cement Ltd,12.6,18.5,14.25,14.25,14.25,14.25,-,-,-,-
02-Apr-20,KEGN,Kenya Electricity Generating Company Plc,4,6.5,4.9,5,4.99,4.93,0.06,1.22%,"207,800",-
02-Apr-20,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
02-Apr-20,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
02-Apr-20,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,1.76,1.8,1.8,1.78,0.02,1.12%,"50,500",-
02-Apr-20,TOTL,Total Kenya Ltd,22,30,24.95,24.95,24.95,24.95,-,-,"1,000",-
02-Apr-20,UMME,Umeme Ltd,5.68,8.6,6.2,6.4,6.2,6.2,-,-,"158,300",-
02-Apr-20,BRIT,Britam Holdings Plc,5.7,10.65,6.5,6.7,6.56,6.52,0.04,0.61%,"13,500",-
02-Apr-20,CIC,CIC Insurance Group Ltd,2,3.65,2.3,2.35,2.3,2.3,-,-,"137,600",-
02-Apr-20,JUB,Jubilee Holdings Ltd,225,380.5,275,275,275,275,-,-,"1,000",-
02-Apr-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.6,2.78,2.77,2.53,0.24,9.49%,"2,300",-
02-Apr-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,8.48,8.48,8.48,8.76,-0.28,3.20%,"3,200",-
02-Apr-20,SLAM,Sanlam Kenya Plc,12.8,20,15,15,15,15,-,-,-,-
02-Apr-20,CTUM,Centum Investment Company Plc,19.6,33.5,22.7,23.35,23,23.05,-0.05,0.22%,"26,000",-
02-Apr-20,HAFR,Home Afrika Ltd,0.3,0.69,0.34,0.36,0.35,0.34,0.01,2.94%,"57,200",-
02-Apr-20,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
02-Apr-20,OCH,Olympia Capital Holdings Ltd,1.9,2.9,2.31,2.31,2.31,2.31,-,-,-,-
02-Apr-20,TCL,Trans-Century Plc,1.42,4.03,1.8,1.81,1.8,2,-0.2,10.00%,"12,700",-
02-Apr-20,NSE,Nairobi Securities Exchange Plc,7,13,9,9,9,9.02,-0.02,0.22%,"16,600",-
02-Apr-20,BOC,BOC Kenya Plc,53,72,60,62.75,61.75,62,-0.25,0.40%,"6,200",-
02-Apr-20,BAT,British American Tobacco Kenya Plc,305,545,378.25,378.25,378.25,378.25,-,-,-,-
02-Apr-20,CARB,Carbacid Investments Plc,7.1,9.4,8.5,8.5,8.5,8.5,-,-,"14,900",-
02-Apr-20,EABL,East African Breweries Ltd,135,222.25,149,156,149,149.25,-0.25,0.17%,"318,500",-
02-Apr-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,1.05,1.05,1.05,1.05,-,-,-,-
02-Apr-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.25,12.25,12.25,12.25,-,-,-,-
02-Apr-20,UNGA,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-
02-Apr-20,SCOM,Safaricom Plc,23.5,33.5,26.95,29,28.25,26.9,1.35,5.02%,"9,152,600",-
02-Apr-20,FAHR,Stanlib Fahari Income-REIT,5.5,10,8,8.2,8.16,8.2,-0.04,0.49%,"6,100",-
02-Apr-20,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,615.00","1,615.00","1,615.00","1,615.00",-,-,-,-
02-Apr-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,165.27,168.39,166.98,165.35,1.63,0.99%,-,-
02-Apr-20,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,174.52,180.09,177.89,174.54,3.35,1.92%,-,-
02-Apr-20,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","1,985.27","1,985.27","1,985.27","1,967.93",17.34,0.88%,-,-
02-Apr-20,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","3,162.82","3,162.82","3,162.82","3,126.53",36.29,1.16%,-,-
02-Apr-20,^NASI,NSE All-Share Index,124.3,171.36,136.68,136.68,136.68,133.25,3.43,2.57%,-,-
