Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
7-Jan-25,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
7-Jan-25,UNGA,Unga Group Ltd,14.4,28.25,15,15.8,15.4,15.1,0.3,1.99%,200,-
7-Jan-25,SCOM,Safaricom Plc,14.1,31,17.5,17.8,17.7,17.6,0.1,0.57%,1284000,-
7-Jan-25,LAPR,Laptrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
7-Jan-25,GLD,ABSA NewGold ETF,3000,9800,3260,3260,3260,3260,-,-,-,-
7-Jan-25,^N10I,NSE 10-Share Index,1170.1,2012.04,1338.87,1338.87,1338.87,1336.77,2.1,0.16%,-,-
7-Jan-25,^N20I,NSE 20-Share Index,1823.17,3253.85,2132.26,2132.26,2132.26,2095.88,36.38,1.74%,-,-
7-Jan-25,^N25I,NSE 25-Share Index,3063.32,5206.47,3520.92,3520.92,3520.92,3494.82,26.1,0.75%,-,-
7-Jan-25,^NASI,NSE All-Share Index,110.65,192.89,128.43,128.43,128.43,127.28,1.15,0.90%,-,-
7-Jan-25,^NBDI,NSE Bonds Index,1019.4,1197.84,1109.52,1109.52,1109.52,1109.18,0.34,0.03%,-,-
7-Jan-25,^ZKEQTK,Zamara Kenya Equity Index (KES),2283.83,4174.69,2579.72,2579.72,2579.72,2578.16,1.56,0.06%,-,-
7-Jan-25,^ZKEQTU,Zamara Kenya Equity Index (USD),1515.51,2782.05,1716.49,1716.49,1716.49,1716.78,-0.29,-0.02%,-,-
8-Jan-25,EGAD,Eaagads Ltd,10.8,24.1,11.65,11.65,11.65,11.65,-,-,-,-
8-Jan-25,KUKZ,Kakuzi Plc,365,440,392.5,392.5,392.5,392.5,-,-,-,-
8-Jan-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,233,233,233,235,-2,-0.85%,400,-
8-Jan-25,LIMT,Limuru Tea Plc,295,423.5,350,350,350,350,-,-,-,-
8-Jan-25,SASN,Sasini Plc,13.3,20.4,15.85,16,16,16,-,-,39500,-
8-Jan-25,WTK,Williamson Tea Kenya Plc,160,350,220,223,222,224,-2,-0.89%,2200,-
8-Jan-25,CGEN,Car and General (K) Ltd,19.5,63,24,24,24,25.15,-1.15,-4.57%,2000,-
8-Jan-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,18.5,19,18.8,18.5,0.3,1.62%,223300,-
8-Jan-25,BKG,BK Group Plc,28.75,43.5,34,35,34.9,34.85,0.05,0.14%,304300,-
8-Jan-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,17.65,18,17.8,17.8,-,-,341700,-
8-Jan-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,68.25,69,68.5,68.25,0.25,0.37%,28100,-
8-Jan-25,EQTY,Equity Group Holdings Plc,41.2,71,47.25,47.95,47.6,47.95,-0.35,-0.73%,1314600,-
8-Jan-25,HFCK,HF Group Ltd,3.32,11.4,5.1,5.48,5.3,4.99,0.31,6.21%,119600,-
8-Jan-25,IMH,I & M Holdings Plc,28,46.2,33,36.7,35.4,36.55,-1.15,-3.15%,87200,-
8-Jan-25,KCB,KCB Group Plc,35,72.5,42,43,42.8,43,-0.2,-0.47%,2043800,-
8-Jan-25,NCBA,NCBA Group Plc,40,100,47,51,49.25,49.95,-0.7,-1.40%,405400,-
8-Jan-25,SBIC,Stanbic Holdings Plc,125,202.5,156,157,156,156.75,-0.75,-0.48%,36200,-
8-Jan-25,SCBK,Standard Chartered Bank Kenya Ltd,232,347.5,292.5,303.5,302.5,300.25,2.25,0.75%,193900,-
8-Jan-25,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
8-Jan-25,EVRD,Eveready East Africa Ltd,0.75,1.62,1.07,1.17,1.15,1.1,0.05,4.55%,15900,-
8-Jan-25,XPRS,Express Kenya Plc,2.8,10,3.14,3.5,3.15,3.38,-0.23,-6.80%,20300,-
8-Jan-25,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
8-Jan-25,KQ,Kenya Airways Plc,1.56,9.18,4.76,4.76,4.76,4.33,0.43,9.93%,677500,-
8-Jan-25,LKL,Longhorn Publishers Plc,2.1,3.47,2.3,2.3,2.3,2.3,-,-,40000,-
8-Jan-25,NBV,Nairobi Business Ventures Ltd,1.48,2.31,1.92,2.1,2,2,-,-,5300,-
8-Jan-25,NMG,Nation Media Group Plc,10.05,15.5,13.5,14,13.55,14,-0.45,-3.21%,14700,-
8-Jan-25,SMER,Sameer Africa Plc,2.11,17,2.6,2.8,2.75,2.55,0.2,7.84%,1500,-
8-Jan-25,SGL,Standard Group Plc,4.5,7.14,4.5,4.96,4.95,4.65,0.3,6.45%,5500,-
8-Jan-25,TPSE,TPS Eastern Africa (Serena) Ltd,13,18.7,15.2,15.5,15.45,15,0.45,3.00%,6200,-
8-Jan-25,UCHM,Uchumi Supermarket Plc,0.16,0.48,0.16,0.17,0.17,0.17,-,-,2558000,-
8-Jan-25,SCAN,WPP ScanGroup Plc,1.8,4.02,2.52,2.91,2.71,2.65,0.06,2.26%,18100,-
8-Jan-25,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
8-Jan-25,BAMB,Bamburi Cement Ltd,47,67,53,55,54.5,55,-0.5,-0.91%,5200,-
8-Jan-25,CRWN,Crown Paints Kenya Plc,29,62,31,35.15,32,33.1,-1.1,-3.32%,11200,-
8-Jan-25,CABL,East African Cables Plc,0.98,3.27,1.05,1.09,1.05,1.06,-0.01,-0.94%,133900,-
8-Jan-25,PORT,East African Portland Cement Ltd,24.5,64.25,27,29.95,28.35,29.5,-1.15,-3.90%,6300,-
8-Jan-25,KEGN,Kenya Electricity Generating Company Plc,3.3,10.75,4.05,4.36,4.13,4.24,-0.11,-2.59%,1499600,-
8-Jan-25,KPLC-P4,KPLC-P4,4,4.51,4,4,4,4,-,-,-,-
8-Jan-25,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
8-Jan-25,KPLC,Kenya Power and Lighting Company Plc,3.1,15.8,6.48,7.08,6.98,6.44,0.54,8.39%,2907700,-
8-Jan-25,TOTL,TotalEnergies Marketing Kenya Plc,19.3,47,20.6,21.3,21,20.8,0.2,0.96%,8600,-
8-Jan-25,UMME,Umeme Ltd,6.86,24.75,16.7,17.6,17.45,17.35,0.1,0.58%,29800,-
8-Jan-25,BRIT,Britam Holdings Plc,5.52,9.4,6.5,7.2,7.08,6.56,0.52,7.93%,89000,-
8-Jan-25,CIC,CIC Insurance Group Ltd,1.98,5.7,2.27,2.35,2.29,2.27,0.02,0.88%,251300,-
8-Jan-25,JUB,Jubilee Holdings Ltd,162,335.5,189,192,190,190,-,-,29100,-
8-Jan-25,KNRE,Kenya Re-Insurance Corporation Ltd,1.05,3.77,1.37,1.41,1.39,1.38,0.01,0.72%,9862400,-
8-Jan-25,LBTY,Liberty Kenya Holdings Ltd,5.82,12.2,6.5,6.7,6.6,6.26,0.34,5.43%,10800,-
8-Jan-25,SLAM,Sanlam Kenya Plc,3.9,11,4.87,5.18,5.08,4.82,0.26,5.39%,2500,-
8-Jan-25,CTUM,Centum Investment Company Plc,9.22,16.75,10.1,11,10.45,10.05,0.4,3.98%,15700,-
8-Jan-25,HAFR,Home Afrika Ltd,0.33,1.83,0.34,0.4,0.36,0.37,-0.01,-2.70%,548600,-
8-Jan-25,KURV,Kurwitu Ventures Ltd,1500,1500,1500,1500,1500,1500,-,-,-,-
8-Jan-25,OCH,Olympia Capital Holdings Ltd,2.7,8.22,2.74,2.95,2.94,2.72,0.22,8.09%,18600,-
8-Jan-25,TCL,Trans-Century Plc,0.36,1.78,0.4,0.41,0.41,0.4,0.01,2.50%,251500,-
8-Jan-25,NSE,Nairobi Securities Exchange Plc,5.5,21.3,6.3,6.9,6.62,6.3,0.32,5.08%,122600,-
8-Jan-25,AMAC,Africa Mega Agricorp Plc,51,80,70,70,70,70,-,-,-,-
8-Jan-25,BOC,BOC Kenya Plc,76,150,86.25,86.25,86.25,86,0.25,0.29%,1000,-
8-Jan-25,BAT,British American Tobacco Kenya Plc,345,452,370,379.75,374.5,373.5,1,0.27%,25700,-
8-Jan-25,CARB,Carbacid Investments Plc,16.25,32.2,19,19.5,19.25,19.55,-0.3,-1.53%,92600,-
8-Jan-25,EABL,East African Breweries Ltd,162.25,250,175.25,179.75,179.5,177.75,1.75,0.98%,540600,-
8-Jan-25,FTGH,Flame Tree Group Holdings Ltd,0.85,2.33,0.95,0.99,0.96,0.96,-,-,32100,-
8-Jan-25,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
8-Jan-25,UNGA,Unga Group Ltd,14.4,28.25,15.4,15.4,15.4,15.4,-,-,-,-
8-Jan-25,SCOM,Safaricom Plc,14.1,31,17.65,18,17.8,17.7,0.1,0.56%,4750400,-
